Genre,Average Betweeness
Science & Technology,0.3308231569731389
Education,0.4917693502964125
Entertainment,0.14959546706384041
Nonprofits & Activism,0.09825258782193678
People & Blogs,0.13055879890664718
Howto & Style,0.18819749603223793
News & Politics,0.748370306191706
Comedy,0.13285734079833067
Music,0.09704016299355063
Sports,0.12858975715250068
Film & Animation,0.13299717446724235
Gaming,0.2317733941887945
Travel & Events,0.16976762302429632
Autos & Vehicles,0.18599440515604973
Pets & Animals,0.2984610782697562
