Genre,Average Clustering Coefficient
Science & Technology,0.14076942065735723
Education,0.3487256220621963
Entertainment,0.15002479207291944
Nonprofits & Activism,0.45415205744886694
People & Blogs,0.17331714147082183
Howto & Style,0.16007192026261566
News & Politics,0.28230553098533073
Comedy,0.3416212997968776
Music,0.14892619753096706
Sports,0.2042623230738737
Film & Animation,0.25209453743368476
Gaming,0.3704375553070054
Travel & Events,0.29899175979116327
Autos & Vehicles,0.13373630006076054
Pets & Animals,0.32007669999518384
