Genre,Average In Degree,Highest In Degree,Clustering Coefficient
Science & Technology,1.5876777251184835,24,0.14076942065735723
Education,2.058,44,0.3487256220621963
Entertainment,1.4944320712694878,21,0.15002479207291944
Nonprofits & Activism,2.5560165975103732,56,0.45415205744886694
People & Blogs,1.5971168437025796,20,0.1733171414708218
Howto & Style,1.5544041450777202,28,0.16007192026261566
News & Politics,1.729433272394881,17,0.28230553098533073
Comedy,2.2456813819577737,20,0.3416212997968776
Music,1.3706896551724137,21,0.14892619753096714
Sports,1.7464008859357696,42,0.2042623230738737
Film & Animation,1.6096256684491979,13,0.25209453743368476
Gaming,2.3293978748524204,50,0.3704375553070054
Travel & Events,1.6843853820598007,14,0.29899175979116327
Autos & Vehicles,1.4643196955280684,19,0.13373630006076054
Pets & Animals,2.3769633507853403,24,0.32007669999518384
