Genre,Average Fewest Hops To Enter
Science & Technology,4.309054325955734
Education,3.7379145025968836
Entertainment,3.401167031363968
Nonprofits & Activism,7.385416666666667
People & Blogs,3.1844277000358807
Howto & Style,4.9208924949290065
News & Politics,5.570515551768215
Comedy,5.611036339165545
Music,4.968127490039841
Sports,5.697771587743732
Film & Animation,4.996221662468514
Gaming,5.987856141989725
Travel & Events,6.35632183908046
Autos & Vehicles,5.98909435751541
Pets & Animals,9.14010989010989
